stable_identity,defining_plugin,local_formid,runtime_formid,winning_plugin,editor_id,display_name,race,creature_type,sex,model,voice_type,template,placed_references,leveled_references,dialogue_references,total_references,deleted,initially_disabled,classification,classification_reason,profile_id
FalloutNV.esm|00014C50,FalloutNV.esm,00014C50,00014C50,TaleOfTwoWastelands.esm,FallsChurchSuperMutantDEAD,Super Mutant,,,unknown,Creatures\SMSpineBreakerDC\Skeleton.nif,CreatureSuperMutantDC [VTYP:06019FD9],CrSuperMutant1GunADC [CREA:0601CF93],0,0,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00014C79,FalloutNV.esm,00014C79,00014C79,TaleOfTwoWastelands.esm,FallsChurchSuperMutantDEAD02,Super Mutant,,,unknown,Creatures\SMSpineBreakerDC\Skeleton.nif,CreatureSuperMutantDC [VTYP:06019FD9],CrSuperMutant1GunBDC [CREA:06094EC5],0,0,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00017A03,FalloutNV.esm,00017A03,00017A03,TaleOfTwoWastelands.esm,Shakes,Shakes,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectronDC [VTYP:06019FDA],CrProtectronDC [CREA:0601CF8F],0,0,28,32,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF6D,FalloutNV.esm,0001CF6D,0001CF6D,TaleOfTwoWastelands.esm,CrRobobrainSteel,Brotherhood Robobrain,,,unknown,Creatures\Robobrain\skeleton.nif,RobotRoboBrainDC [VTYP:06019FDE],CrRobobrainDC [CREA:0601CF89],0,1,0,1,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF6E,FalloutNV.esm,0001CF6E,0001CF6E,TaleOfTwoWastelands.esm,CrSentryBotGLSteel,Brotherhood Sentry Bot,,,unknown,Creatures\SentryBot\Skeleton.nif,RobotSentryBotDC [VTYP:06019FDB],CrSentryBotGLDC [CREA:0601CF8A],0,1,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF70,FalloutNV.esm,0001CF70,0001CF70,FalloutNV.esm,CrRobobrainOutcast,Robobrain,,,unknown,Creatures\Robobrain\skeleton.nif,RobotRoboBrain [VTYP:00019FDE],CrRobobrain [CREA:0001CF89],0,1,0,2,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF71,FalloutNV.esm,0001CF71,0001CF71,TaleOfTwoWastelands.esm,CrSentryBotGLOutcast,Outcast Sentry Bot,,,unknown,Creatures\SentryBot\Skeleton.nif,RobotSentryBotDC [VTYP:06019FDB],CrSentryBotGLDC [CREA:0601CF8A],0,1,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF72,FalloutNV.esm,0001CF72,0001CF72,TaleOfTwoWastelands.esm,CrDeathClawEnclave,Deathclaw,,,unknown,Creatures\DeathClaw\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrDeathClaw [CREA:0001CF9A],0,2,0,21,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,deathclaw
FalloutNV.esm|0001CF73,FalloutNV.esm,0001CF73,0001CF73,TaleOfTwoWastelands.esm,CrEyebotEnclave,Enclave Eyebot,,,unknown,Creatures\Eyebot\Skeleton.nif,,,0,4,0,85,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF74,FalloutNV.esm,0001CF74,0001CF74,TaleOfTwoWastelands.esm,CrRobobrainEnclave,Enclave Robobrain,,,unknown,Creatures\Robobrain\skeleton.nif,RobotRoboBrainDC [VTYP:06019FDE],CrRobobrainDC [CREA:0601CF89],0,3,0,2,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF75,FalloutNV.esm,0001CF75,0001CF75,TaleOfTwoWastelands.esm,CrSentryBotGLEnclave,Enclave Sentry Bot,,,unknown,Creatures\SentryBot\Skeleton.nif,RobotSentryBotDC [VTYP:06019FDB],CrSentryBotGLDC [CREA:0601CF8A],0,2,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF77,FalloutNV.esm,0001CF77,0001CF77,TaleOfTwoWastelands.esm,CrFeralGhoul2B,Feral Ghoul Roamer,,,unknown,Creatures\Ghoul\Skeleton.nif,CreatureFeralGhoul [VTYP:0007AE96],CrFeralGhoul2A [CREA:0009FAFB],0,2,0,2,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,feral_ghoul_roamer
FalloutNV.esm|0001CF7A,FalloutNV.esm,0001CF7A,0001CF7A,TaleOfTwoWastelands.esm,CrFeralGhoul1B,Feral Ghoul,,,unknown,Creatures\Ghoul\Skeleton.nif,CreatureFeralGhoul [VTYP:0007AE96],CrFeralGhoul1A [CREA:0009FAFA],0,2,0,1,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,feral_ghoul
FalloutNV.esm|0001CF7B,FalloutNV.esm,0001CF7B,0001CF7B,TaleOfTwoWastelands.esm,CrFeralGhoulGlowingOne,Glowing One,,,unknown,Creatures\Ghoul\Skeleton.nif,CreatureFeralGhoul [VTYP:0007AE96],,0,2,0,13,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,glowing_one
FalloutNV.esm|0001CF7C,FalloutNV.esm,0001CF7C,0001CF7C,FalloutNV.esm,CrRadroach,Radroach,,,unknown,Creatures\Radroach\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,33,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,radroach
FalloutNV.esm|0001CF7F,FalloutNV.esm,0001CF7F,0001CF7F,TaleOfTwoWastelands.esm,CrAnt3Queen,Giant Ant Queen,,,unknown,Creatures\QueenAnt\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,2,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,giant_ant_queen
