topic,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
"brahmin,pack brahmin,mono-headed brahmin",,,"Brahmin are two-headed cattle that serve as a major food source and form of transportation throughout the wasteland, raised for their meat and milk while their waste is used as fertilizer. When utilized by merchants to carry goods, these creatures are known as pack brahmin, and they are a common, non-dangerous sight in settlements like Megaton, Arefu, and the Republic of Dave. In the New California Republic, herding brahmin is a significant industry where wealthy Brahmin Barons influence politicians and laws. Occasionally, a brahmin is born with a single head, a rare mutation referred to as a mono-headed brahmin.",,,creature
centaur,,,"Centaurs are large, fleshy mutated creatures composed of human and canine components, named for their three pairs of leg-like arms. They are commonly found accompanying super mutants, serving as watchdogs and companions to their masters. Centaurs are capable of spitting radioactive projectiles at their targets and possess multiple human arms that they use to drag themselves along the ground. Earlier wasteland accounts describe two-headed centaurs with one canine and one humanoid head, each connected to the body by thick elongated necks, though more recent sightings in the Capital Wasteland describe a single head with three writhing tentacle-like tongues.",,,creature
deathclaw,,,"Deathclaws are large, highly dangerous mutated predators originally engineered by the pre-war United States government from Jackson's Chameleon stock as replacements for human soldiers in close-combat missions. After the Great War, they spread across North America and established packs led by a pack leader and pack mother, nesting in locations that often disrupt trade routes and make surrounding areas extremely hazardous. They are widely feared as some of the most dangerous creatures in the wasteland, with only behemoths regarded as a greater threat, and some wastelanders who have never encountered them consider them mythical. The Enclave experimented on Deathclaws in several locations, including the creation of Intelligent Deathclaws at Vault 13 through FEV injection, resulting in creatures with increased intelligence who eventually recognized their intended role as expendable soldiers.",,,creature
eyebot,,,"Eyebots are small, spherical aerial robots equipped with a loudspeaker and an electrical weapon mounted on the front, along with several long antennas extending from their top and back. They are a familiar sight in the Mojave Wasteland and the Divide, where they hover about broadcasting signals or engaging threats with their built-in tasers. Though individually not very dangerous, eyebots are known to detonate when destroyed, posing a minor hazard to anything nearby. A notable eyebot designated ED-E has gained some recognition among wastelanders, and pre-War popular media even featured an eyebot character named RALPHIE, suggesting these robots were well known to the American public before the Great War.",,,creature
"feral_ghoul,Mindless Ghouls,Zombies,Crazies,Post-Necrotic Humans",,,"Feral Ghouls are irradiated humans who have lost their minds to brain degeneration, becoming aggressive and dangerous. They are known by many names, including Mindless Ghouls, Zombies, Crazies, and Post-Necrotic Humans. They emit lethal radiation, prefer dark places, and attack with their hands, though some can still use weapons. Their existence fuels prejudice against all ghouls, as many humans assume every ghoul will eventually turn feral.",,,creature
mister_gutsy,,,"The Mister Gutsy is a military combat robot developed by General Atomics International and commissioned by the United States Army before the Great War. It is a dedicated combat variant of the civilian Mister Handy model, and units saw action during the Battle of Anchorage in January 2077. Mister Gutsies are equipped with weapons such as 10mm submachine guns, .44 pistols, plasma weapons, and flamethrowers. General Atomics programmed them to be effective soldiers, but the vague definitions used caused issues with their simulated personality units, giving them the ability to refuse orders from commanders they deemed incompetent or those under court martial.",,,creature
mister_handy,,,"The Mister Handy is a variant of service and maintenance robot found operating in the Mojave Wasteland. They are equipped with a powerful propulsion system that enables them to hover a few feet above the ground. A Mister Handy features a spherical chassis topped with three optical sensors and three primary appendages for manual labor. Among these appendages are a buzz saw and a rudimentary flamethrower, allowing the robot to perform its duties effectively.",,,creature
mole_rat,,,"Mole rats are mutated descendants of a species closely resembling a larger variant of heterocephalus glaber, having survived the Great War by burrowing underground where the soil shielded them from direct nuclear blasts. The subsequent radioactive fallout greatly increased their size and aggression, producing the hostile creatures now found throughout the Capital Wasteland and as far afield as Point Lookout. They attack by charging their prey and lunging to bite with their large incisors, though they may retreat if severely outmatched. Despite their aggression, some wastelanders have been known to train and keep mole rats as pets, and raiders have even hosted mole rat races at a dedicated track.",,,creature
"protectron,RobCo Protectron",,,"The RobCo Protectron is a sturdy pre-War security automaton used in both private and business sectors across the United States. Powered by a fission battery and featuring three photo sensors for sight, these robots were stored in special pods connected to terminals running the Standard Protectron Control Interface. Their introduction displaced many human workers, leading to violent labor strikes between employees and the machines. Protectrons were manufactured in numerous variants for civil service applications, including firefighter models with cryo guns, medic units with defibrillator hands, police units using shock attacks, construction models with nail guns, and office, utility, and Vault helpers with specialized software.",,,creature
"radroach,periplaneta americana",,,"Radroaches, sometimes called Great American Cockroaches or by their scientific name periplaneta americana, are a common mutated insect species descended from pre-War cockroach populations. They are found throughout the Capital Wasteland and are generally hostile to humans, flapping their wings and antennae before attacking. Their meat is edible, though Moira Brown of Megaton famously describes the taste as resembling old feet. Some radroaches have been observed in unusual circumstances, such as the non-hostile specimens found near the so-called Roach King, or the undersized ones kept as pets by individuals like Gallo in the County Sewer Mainline.",,,creature
radscorpion,,,"Radscorpions are mutated descendants of the North American Emperor scorpion, enlarged by radiation and Forced Evolutionary Virus exposure following the Great War. They are found throughout the wasteland and are known for their venom, from which antidotes have been derived.",,,creature
robobrain,,,"Robobrains are pre-war robots developed by General Atomics International under Doctor Bert Riggs, representing the company's first successful union of organic matter and robotics. Research and production were conducted at facilities operated by General Atomics, RobCo Industries, and the US Army Robotics Division, including Sierra Army Depot and RB-2851. Early models used chimpanzee brains, but the program ultimately sought human brains to augment the robot's functions, accelerate decision-making, and ensure unquestioning obedience. Candidates for brain extraction were drawn from military and civilian prisons, targeting adults of high intelligence and sufficient constitution to survive the removal process.",,,creature
sentry_bot,,,"Sentry Bots are heavy combat robots created to provide security through overwhelming firepower, utilizing a minigun or Gatling Laser on one arm and a Missile Launcher on the other. They possess judicial circuits that allow them to witness crimes such as murder or thievery and hand down death sentences to criminals they identify. A combat inhibitor on their back can cause them to frenzy if damaged, and their fusion core becomes vulnerable during a cooldown phase after attacking. These robots are found throughout the Mojave Wasteland, Big MT, and the Divide, with variants including the Mk series and dedicated Army models.",,,creature
"super_mutant,Mutants",,,"Super Mutants, sometimes simply called Mutants, are hulking humanoid creatures created by exposing humans to the Forced Evolutionary Virus. They typically possess exceptional strength, endurance, and immunity to radiation and disease, though their intelligence is often modified. Various strains of these mutants exist across the wasteland, originating from places like Mariposa Military Base, Vault 87, the Institute, and West Tek facilities. While many are hostile and obsessively seek out more of the virus, often referred to as ""green stuff,"" to expand their numbers, some groups coexist peacefully with humans.",,,creature
abomination,,,"Abominations are hostile half-human, half-alien hybrids created aboard Mothership Zeta by the alien inhabitants. They possess semi-transparent skin and long arms, attacking intruders without ranged weapons by pointing and wailing before charging to swipe at their targets. Recorded logs indicate that aliens transform humans into these creatures, though not all subjects survive the process. They are found patrolling the ship's hallways or confined in cells, particularly in the Biological Research section of the vessel.",,,creature
alien,,,"Aliens are hostile extraterrestrial beings encountered aboard Mothership Zeta, commonly seen wearing white spacesuits. They wield advanced weaponry such as Disintegrators, Atomizers, and Shock Batons, and are sometimes protected by an Inertia Suppression Field that functions as a personal shield. Their civilization possesses highly advanced technology, including long-term cryostasis, teleportation, and holograms. A dead alien can also be found far north of the Scrapyard on Earth, alongside an Alien Blaster.",,,creature
bloatfly,,,"Bloatflies are mutated insects found in the Capital Wasteland, descended from either the common housefly or biting horse fly. The Enclave tentatively classified them within the Tabanidae family, noting that they evolved a unique gland to balance and maintain speed at their enlarged size, though this gland may be toxic if consumed. They attack by launching their own maggots as projectiles and can explode upon death. Bloatflies are known to congregate in areas with available carrion, such as near Reclining Groves Resort Homes where they feed on dead Wastelanders, and within the entrance area of Vault 92.",,,creature
experimental_weapons_drone,,,"Experimental Weapons Drones are alien robots encountered on board the alien vessel known as Mothership Zeta. They are used by the aliens for multiple tasks, including combat, personal use, and weapons testing. In the ship's Weapons Lab, two such drones are used to fire at brahmin exiting from a teleportation matrix. All drones aboard the vessel are manufactured at the Robot Assembly.",,,creature
fire_ant,,,"Fire ants are mutated insects found in the Capital Wasteland, created accidentally by Doctor Lesko through genetic manipulation. The doctor was attempting to return giant ants to their normal size, but a small error in his work produced a different mutation altogether. These creatures breathe fire through a process Lesko calls pyrosis, expelling flammable venom from their venom sacks and igniting it with a spark made by clicking their mandibles. Fire ants employ swarming tactics similar to ordinary giant ants and possess a notable resistance to fire.",,,creature
guardian_drone,,,"Guardian Drones are alien robots used by the aliens aboard Mothership Zeta for a variety of tasks, including combat, personal use, and weapons testing. They are manufactured at the ship's Robot Assembly and can be found stationed throughout the vessel, sometimes resting deactivated within Alien Robot Pods. Each Guardian Drone is equipped with a Drone Cannon, a weapon that fires an arced projectile which rolls along surfaces before exploding. In the Weapons Lab, drones are used to fire at brahmin that emerge from a Teleportation Matrix as part of alien experimentation.",,,creature
mirelurk,,,"Mirelurks are giant mutated creatures that inhabit the waters and shores of the Capital Wasteland. They are heavily armored, making them difficult to harm, though their faces are a known weak point. Wastelanders such as Grandma Sparkle prize mirelurk meat, especially the softshell variety, as a valuable food source. They appear to require contaminated water to survive, as they begin dying off when exposed to pure water.",,,creature
mirelurk_king,,,"Mirelurk Kings are mutated creatures found in the Capital Wasteland. They are known for a ranged sonic attack that can cripple a target's head from afar, though they also possess a more damaging melee attack. Mirelurk Kings cannot attack while swimming and will remain stationary when approached, though their sonic attack can penetrate water. A related variant, the Swamplurk Queen, possesses a spit attack instead of the sonic attack and is more resilient.",,,creature
swampfolk,,,"Swampfolk are mutated humans inhabiting the Point Lookout swamplands, recognizable by their severe deformities and territorial nature. They mark their territory with hanging dolls and other fetishes, and are known to attack outsiders who wander too close to their grounds. While most Swampfolk are born with their distinctive mutations, rare individuals such as Kenny have been born to Swampfolk parents without deformities and become outcasts as a result. Locals like Marguerite and Haley coexist with or trade alongside the Swampfolk, with Haley noting that they tend to carry a strong smell.",,,creature
trog,,,"Trogs are mutated humans found in the Pitt, transformed by Troglodyte Degeneration Contagion, a condition caused by the region's concentrated ambient radiation combined with unique industrial toxins and pollutants. The disease is not spread through contact with the infected. Roughly twenty percent of the local populace has undergone the transformation, becoming feral creatures that attack anything on sight, even former friends and loved ones. Children born in the Pitt face a one hundred percent degeneration rate and become feral within weeks of birth.",,,creature
yao_guai,,,"Yao Guai are mutated bear-like creatures found throughout the Capital Wasteland, typically in craggy, hilly areas or caverns. They are generally encountered in pairs or wandering alone, frequently at night, and are known to inhabit locations such as the Yao Guai Tunnels, Yao Guai Cave, and Cliffside Cavern. Though not as deadly as Deathclaws, Yao Guai are formidable opponents that attack with running pounces followed by slashes and bites. Some wasteland scavengers travel with Yao Guai companions, and these tame specimens will not attack on sight, though they will defend themselves and their ally if threatened.",,,creature
bighorner,,,"Bighorners are large herbivorous creatures native to the American Southwest, commonly found in the Mojave Wasteland and Zion Canyon. Humans have domesticated them for their horns, meat, milk, and hides, with settlements such as Goodsprings and Jacobstown keeping herds for survival. Wild bighorners travel in herds of three to seven, often near banana yucca fruit, while domesticated drifts are kept in settlements. They are generally docile but become aggressive if a herd member is distressed or if approached too closely.",,,creature
cazador,,,"Cazadores are large mutated insects created in 2003 at Big MT through DNA splicing experiments conducted in the Z-14 Pepsinae DNA Splicing Lab. Doctor Borous, their creator, denies that they escaped the Big MT crater or are capable of breeding, though both claims are false. In recent years, swarms of cazadores have spread from Big MT into neighboring regions such as the Mojave Wasteland and Zion Canyon. They are most commonly found in mountainous areas, where they build large basket-shaped nests, and they compete with nightstalkers for prey.",,,creature
