npc_name,worldknowledge_tags
+blind+_luke,"community:new_vegas,domain:survival,person:blind_luke,place:new_vegas,race:human,region:mojave,role:survivalist"
+sweet+_jill,"community:new_vegas,domain:survival,person:sweet_jill,place:new_vegas,race:human,region:mojave,role:survivalist"
010011110110111001100101,"community:big_mt,person:010011110110111001100101,place:big_mt,race:robot,region:mojave,role:soldier"
10_of_spades,"faction:ncr,person:10_of_spades,race:human,region:mojave"
alerio,"community:new_vegas,faction:caesars_legion,person:alerio,place:new_vegas,race:human,region:mojave"
alexander,"community:camp_mccarran,domain:firearms,person:alexander,place:camp_mccarran,race:human,region:mojave"
alexus,"faction:caesars_legion,faction:ncr,person:alexus,race:human,region:mojave,role:leader"
alice_hostetler,"person:alice_hostetler,race:human"
alice_mcbride,"community:novac,domain:survival,person:alice_mcbride,place:novac,race:human,region:mojave,role:survivalist"
alice_mclafferty,"domain:politics,faction:ncr,person:alice_mclafferty,race:human,region:mojave,role:caravaner"
allen_marks,"person:allen_marks,race:human,region:mojave,role:hunter"
amb_dennis_crocker,"community:new_vegas,domain:politics,faction:ncr,person:amb_dennis_crocker,place:new_vegas,region:mojave,role:caravaner"
anders,"community:red_rock_canyon,domain:trade,faction:caesars_legion,faction:great_khans,person:anders,place:red_rock_canyon,race:human,region:mojave"
andy_scabb,"community:new_vegas,domain:survival,person:andy_scabb,place:new_vegas,race:ghoul,region:mojave,role:leader,role:survivalist"
angela_williams,"community:hoover_dam,domain:engineering,person:angela_williams,place:hoover_dam,race:human,region:mojave,role:engineer,role:researcher"
anne,"community:new_vegas,domain:survival,faction:ncr,person:anne,place:new_vegas,race:human,region:mojave,role:survivalist"
antony,"domain:technology,faction:caesars_legion,person:antony,race:human,region:mojave"
apprentice_melissa_watkins,"community:hidden_valley,person:apprentice_melissa_watkins,place:hidden_valley,race:human,region:mojave"
april_martimer,"community:freeside,domain:technology,faction:followers_of_the_apocalypse,person:april_martimer,place:freeside,race:human,region:mojave,role:scientist"
arcade_gannon,"community:freeside,domain:history,domain:medicine,faction:followers_of_the_apocalypse,person:arcade_gannon,place:freeside,race:human,region:mojave,role:medic,role:researcher"
argyll,"community:nellis_air_force_base,domain:medicine,faction:boomers,person:argyll,place:nellis_air_force_base,race:human,region:mojave,role:medic"
arms_merchant,"community:hoover_dam,domain:military,faction:ncr,person:arms_merchant,place:hoover_dam,race:human,region:mojave,role:merchant,role:military"
assassin,"community:new_vegas_strip,faction:white_glove_society,person:assassin,place:new_vegas_strip,race:human,region:mojave"
assistant,"community:new_vegas,person:assistant,place:new_vegas,race:human,region:mojave"
atomic_wrangler_cashier,"community:freeside,person:atomic_wrangler_cashier,place:freeside,race:human,region:mojave"
atomic_wrangler_crier,"community:freeside,person:atomic_wrangler_crier,place:freeside,race:human,region:mojave"
atomic_wrangler_guard,"community:freeside,domain:firearms,person:atomic_wrangler_guard,place:freeside,race:human,region:mojave,role:soldier"
atticus,"domain:medicine,domain:survival,faction:caesars_legion,person:atticus,race:human,region:mojave,role:medic,role:survivalist"
audaz,"person:audaz,race:dog,region:mojave,role:soldier"
aurelius_of_phoenix,"domain:military,faction:caesars_legion,person:aurelius_of_phoenix,race:human,region:mojave,role:military"
barton_thorn,"community:goodsprings,domain:survival,person:barton_thorn,place:goodsprings,race:human,region:mojave,role:hunter,role:survivalist"
basura,"person:basura,race:dog,region:mojave,role:soldier"
battlegear_character,"community:hoover_dam,person:battlegear_character,place:hoover_dam,race:human,region:mojave,role:soldier"
beast,"domain:firearms,person:beast"
beatrix_russell,"community:freeside,domain:history,faction:followers_of_the_apocalypse,person:beatrix_russell,place:freeside,race:ghoul,region:mojave"
benny__benny,"community:new_vegas,domain:politics,faction:chairmen,person:benny,place:new_vegas,race:human,region:mojave,role:leader"
benny__vfortbenny,"community:new_vegas,faction:chairmen,person:benny,place:new_vegas,race:human,region:mojave,role:leader"
benny__vfortbennycrucified,"community:new_vegas,domain:technology,person:benny,place:new_vegas,race:human,region:mojave,role:leader"
bert_gunnarsson,"community:new_vegas_strip,domain:medicine,person:bert_gunnarsson,place:new_vegas_strip,race:ghoul,region:mojave,role:doctor,role:medic"
beru,"person:beru,race:human,region:mojave"
big_beard,"community:freeside,domain:firearms,person:big_beard,place:freeside,race:human,region:mojave"
big_sal,"community:new_vegas_strip,person:big_sal,place:new_vegas_strip,race:human,region:mojave"
bill_ronte,"community:freeside,domain:engineering,person:bill_ronte,place:freeside,race:human,region:mojave,role:engineer"
bill_the_tax_collector,"domain:history,person:bill_the_tax_collector,race:human"
billy_knight,"community:new_vegas,person:billy_knight,place:new_vegas,race:human,region:mojave"
biological_research_station,"community:big_mt,domain:biology,domain:xenotechnology,person:biological_research_station,place:big_mt,region:mojave"
blade,"domain:technology,person:blade,race:ghoul"
blake,"community:new_vegas,domain:trade,person:blake,place:new_vegas,race:human,region:mojave,role:caravaner,role:merchant"
blind_diode_jefferson,"community:big_mt,person:blind_diode_jefferson,place:big_mt,region:mojave"
blister,"domain:survival,faction:ncr,person:blister,race:ghoul,region:mojave,role:hunter,role:leader,role:survivalist"
bodyguard,"community:freeside,domain:survival,person:bodyguard,place:freeside,race:human,region:mojave,role:soldier,role:survivalist"
bodyguard_for_hire,"community:freeside,person:bodyguard_for_hire,place:freeside,race:human,region:mojave,role:soldier"
bonegnash,"person:bonegnash,race:dog,role:soldier"
bonesaw,person:bonesaw
book_chute,"community:big_mt,person:book_chute,place:big_mt,region:mojave"
boomer_chef,"community:nellis_air_force_base,person:boomer_chef,place:nellis_air_force_base,race:human,region:mojave"
boomer_guard,"community:nellis_air_force_base,domain:firearms,person:boomer_guard,place:nellis_air_force_base,race:human,region:mojave,role:soldier"
boomer_munitions_manager,"community:nellis_air_force_base,domain:explosives,faction:boomers,person:boomer_munitions_manager,place:nellis_air_force_base,region:mojave,role:merchant"
boomer_teacher,"community:nellis_air_force_base,domain:history,person:boomer_teacher,place:nellis_air_force_base,race:human,region:mojave"
boulder_city_worker,"faction:ncr,person:boulder_city_worker,race:human,region:mojave"
bounty_hunter,"community:primm,domain:survival,domain:trade,person:bounty_hunter,place:primm,race:human,region:mojave,role:caravaner,role:hunter,role:merchant,role:survivalist"
boxcars,"domain:survival,faction:powder_gangers,person:boxcars,race:human,region:mojave,role:survivalist"
brotherhood_scout,"domain:survival,faction:brotherhood_of_steel,person:brotherhood_scout,race:human,region:mojave,role:survivalist"
bruce_isaac,"community:novac,domain:survival,person:bruce_isaac,place:novac,region:mojave,role:survivalist"
bryce_anders,"community:camp_mccarran,domain:survival,faction:fiends,faction:ncr,person:bryce_anders,place:camp_mccarran,race:human,region:mojave,role:survivalist"
burned_body,"domain:survival,person:burned_body,race:human,region:mojave,role:survivalist"
button_man,"person:button_man,race:human,role:soldier"
cachino,"community:underworld,person:cachino,place:underworld,race:human,region:capital_wasteland"
caesar,"community:hoover_dam,domain:history,domain:military,domain:politics,faction:caesars_legion,person:caesar,place:hoover_dam,race:human,region:mojave,role:leader,role:military"
calamity,"community:jacobstown,domain:medicine,domain:trade,person:calamity,place:jacobstown,race:ghoul,region:mojave,role:medic,role:merchant"
caleb_mccaffery,"community:new_vegas,person:caleb_mccaffery,place:new_vegas,race:human,region:mojave,role:hunter"
cannibal_johnson,"domain:military,domain:survival,person:cannibal_johnson,race:human,region:mojave,role:hunter,role:military,role:survivalist"
canyon_runner,"domain:military,person:canyon_runner,race:human,role:military"
captain_gilles,"domain:military,faction:ncr,person:captain_gilles,race:human,region:mojave,role:leader,role:military"
captain_parker,"domain:military,faction:ncr,person:captain_parker,race:human,region:mojave,role:leader,role:military"
captain_ronald_curtis,"community:camp_mccarran,domain:military,faction:ncr,person:captain_ronald_curtis,place:camp_mccarran,race:human,region:mojave,role:military"
caravaneer,"community:new_vegas,person:caravaneer,place:new_vegas,race:human,region:mojave,role:caravaner"
card_dealer,"community:new_vegas,person:card_dealer,place:new_vegas,race:human,region:mojave"
carlitos_wayne,"community:new_vegas_strip,domain:survival,person:carlitos_wayne,place:new_vegas_strip,race:human,region:mojave,role:survivalist"
carlyle_st_clair_iii,"community:new_vegas,domain:survival,person:carlyle_st_clair_iii,place:new_vegas,race:human,region:mojave,role:merchant,role:survivalist"
carter__ncrcfcarter,"domain:trade,faction:ncr,faction:powder_gangers,person:carter,race:human,region:mojave,role:merchant"
carter__vault3prisoner04,"domain:survival,domain:trade,person:carter,race:human,region:mojave,role:caravaner,role:survivalist"
casino_guard,"community:new_vegas,person:casino_guard,place:new_vegas,race:human,region:mojave,role:soldier"
cato_hostilius,"community:hoover_dam,domain:military,faction:caesars_legion,person:cato_hostilius,place:hoover_dam,race:human,region:mojave,role:military"
centurion,"community:hoover_dam,faction:caesars_legion,person:centurion,place:hoover_dam,race:human,region:mojave"
chairman,"community:new_vegas,person:chairman,place:new_vegas,race:human,region:mojave"
chairman_bodyguard,"person:chairman_bodyguard,race:human,role:soldier"
chairman_greeter,"community:new_vegas,person:chairman_greeter,place:new_vegas,race:human,region:mojave,role:soldier"
chauncey,"community:new_vegas,faction:white_glove_society,person:chauncey,place:new_vegas,race:human,region:mojave"
chavez,"domain:survival,faction:powder_gangers,person:chavez,race:human,region:mojave,role:leader,role:survivalist"
chem_addict,"domain:survival,person:chem_addict,role:survivalist"
chet,"community:goodsprings,domain:trade,person:chet,place:goodsprings,race:human,region:mojave"
cheyenne,"community:goodsprings,person:cheyenne,place:goodsprings,race:dog,region:mojave,role:soldier"
chief_hanlon,"community:hoover_dam,domain:explosives,domain:military,domain:survival,faction:ncr,person:chief_hanlon,place:hoover_dam,region:mojave,role:military,role:survivalist"
chomps_lewis,"community:new_vegas_strip,faction:great_khans,faction:ncr,person:chomps_lewis,place:new_vegas_strip,race:human,region:mojave"
chris_haversam,"domain:engineering,person:chris_haversam,race:human,role:engineer"
christine_royce,"community:big_mt,domain:survival,person:christine_royce,place:big_mt,region:mojave,role:survivalist"
clanden,"community:new_vegas,domain:explosives,person:clanden,place:new_vegas,race:human,region:mojave"
clayton_ettienne,"community:westside,domain:agriculture,domain:trade,person:clayton_ettienne,place:westside,race:human,region:mojave"
cliff_briscoe,"community:novac,person:cliff_briscoe,place:novac,race:human,region:mojave,role:caravaner,role:merchant"
clinic_guard,"community:new_vegas,domain:medicine,person:clinic_guard,place:new_vegas,race:human,region:mojave,role:medic,role:soldier"
colmillo,"person:colmillo,race:dog,role:soldier"
colonel_cassandra_moore,"community:hoover_dam,domain:politics,faction:ncr,person:colonel_cassandra_moore,place:hoover_dam,race:human,region:mojave,role:raider"
colonel_james_hsu,"community:camp_mccarran,domain:military,faction:ncr,person:colonel_james_hsu,place:camp_mccarran,race:human,region:mojave,role:military"
comm_officer_castillo,"faction:ncr,person:comm_officer_castillo,race:human,region:mojave"
comm_officer_green,"faction:ncr,person:comm_officer_green,race:human,region:mojave"
comm_officer_lenk,"community:hoover_dam,domain:military,faction:ncr,person:comm_officer_lenk,place:hoover_dam,race:human,region:mojave,role:military"
comm_officer_scheffer,"domain:military,faction:ncr,person:comm_officer_scheffer,race:human,region:mojave,role:military"
comm_officer_stepinac,"domain:military,faction:ncr,person:comm_officer_stepinac,race:human,region:mojave,role:military"
comm_officer_tilden,"faction:ncr,person:comm_officer_tilden,race:human,region:mojave"
construction_drone_foreman,"community:big_mt,domain:robotics,person:construction_drone_foreman,place:big_mt,race:robot,region:mojave"
convict,"community:primm,domain:survival,faction:ncr,faction:powder_gangers,person:convict,place:primm,race:human,region:mojave,role:raider,role:survivalist"
cook-cook,"community:westside,person:cook_cook,place:westside,race:human,region:mojave,role:leader"
corporal_betsy,"community:camp_mccarran,faction:ncr,person:corporal_betsy,place:camp_mccarran,race:human,region:mojave"
corporal_sterling,"community:camp_mccarran,domain:survival,faction:ncr,person:corporal_sterling,place:camp_mccarran,region:mojave,role:survivalist"
corporal_walter_hornsby,"community:camp_mccarran,domain:firearms,domain:military,faction:ncr,person:corporal_walter_hornsby,place:camp_mccarran,race:human,region:mojave,role:military,role:soldier"
corporal_william_farber,"community:camp_mccarran,faction:ncr,person:corporal_william_farber,place:camp_mccarran,race:human,region:mojave"
craig_boone,"community:novac,domain:military,domain:survival,faction:ncr,person:craig_boone,place:novac,race:human,region:mojave,role:military,role:survivalist"
crandon,"community:new_vegas,domain:survival,person:crandon,place:new_vegas,region:mojave,role:leader,role:survivalist"
crazed_chem_addict,"domain:trade,person:crazed_chem_addict,race:human"
crimson_caravan_guard,"community:new_vegas,domain:firearms,person:crimson_caravan_guard,place:new_vegas,race:human,region:mojave,role:caravaner,role:soldier"
crimson_caravan_trader,"community:camp_mccarran,domain:survival,domain:trade,person:crimson_caravan_trader,place:camp_mccarran,race:human,region:mojave,role:caravaner,role:survivalist"
crucified_slave,"faction:caesars_legion,person:crucified_slave,race:human,region:mojave"
crucified_trooper,"faction:ncr,person:crucified_trooper,race:human,region:mojave"
crusoe,"faction:white_glove_society,person:crusoe,race:human,region:mojave"
cursor_lucullus__nvcclucullus,"faction:caesars_legion,person:cursor_lucullus,race:human,region:mojave,role:courier"
cursor_lucullus__nvcclucullus_90,"faction:caesars_legion,person:cursor_lucullus,race:human,region:mojave,role:courier"
daisy_whitman,"community:novac,domain:engineering,person:daisy_whitman,place:novac,race:human,region:mojave,role:engineer"
dale_barton,"faction:caesars_legion,person:dale_barton,race:human,region:mojave,role:caravaner,role:merchant"
dancing_flame,"person:dancing_flame,race:human,role:soldier,role:tribal"
daniel__nvdlc02daniel,"community:zion_canyon,domain:medicine,domain:survival,person:daniel,place:zion_canyon,race:human,region:mojave,role:leader,role:medic,role:survivalist,role:tribal"
daniel__v03fiendjailer,"faction:fiends,person:daniel,race:human,region:mojave"
daniel_wyand,"community:new_vegas,person:daniel_wyand,place:new_vegas,race:human,region:mojave,role:courier"
davey_crenshaw,"community:camp_mccarran,faction:ncr,person:davey_crenshaw,place:camp_mccarran,race:human,region:mojave,role:soldier"
davison,"community:jacobstown,person:davison,place:jacobstown,race:nightkin,region:mojave,role:leader"
dawes,"domain:explosives,faction:ncr,faction:powder_gangers,person:dawes,race:human,region:mojave,role:soldier"
dazzle,"community:new_vegas,person:dazzle,place:new_vegas,race:human,region:mojave"
dead_boomer,"community:nellis_air_force_base,domain:explosives,person:dead_boomer,place:nellis_air_force_base,race:human,region:mojave"
dead_mercenary,"domain:firearms,domain:survival,person:dead_mercenary,race:human,region:mojave,role:survivalist"
dead_prospector,"domain:firearms,domain:survival,person:dead_prospector,race:human,region:mojave,role:survivalist"
dead_sea,"person:dead_sea,race:human,role:leader"
dean_domino,"community:sierra_madre,domain:survival,person:dean_domino,place:sierra_madre,race:ghoul,region:mojave,role:survivalist"
decanus_severus,"person:decanus_severus,race:human"
dennis,"domain:survival,domain:trade,faction:fiends,person:dennis,race:ghoul,region:mojave,role:caravaner,role:survivalist"
deputy_beagle,"community:primm,person:deputy_beagle,place:primm,race:human,region:mojave"
dermot,"community:westside,person:dermot,place:westside,race:human,region:mojave"
destitute_traveler,"community:new_vegas,domain:survival,domain:trade,faction:ncr,person:destitute_traveler,place:new_vegas,race:human,region:mojave,role:survivalist"
devin,"community:new_vegas,faction:ncr,person:devin,place:new_vegas,region:mojave,role:soldier"
diane,"community:red_rock_canyon,domain:politics,faction:great_khans,person:diane,place:red_rock_canyon,race:human,region:mojave,role:tribal"
disguised_frumentarius,"person:disguised_frumentarius,race:human,region:mojave"
disguised_hooker,"community:new_vegas_strip,domain:survival,person:disguised_hooker,place:new_vegas_strip,race:human,region:mojave,role:survivalist"
dixon,"community:freeside,domain:survival,person:dixon,place:freeside,race:human,region:mojave,role:survivalist"
dixon+s_thug,"community:freeside,domain:firearms,domain:survival,person:dixon_s_thug,place:freeside,race:human,region:mojave,role:soldier,role:survivalist"
doc_mitchell,"community:goodsprings,domain:medicine,person:doc_mitchell,place:goodsprings,race:human,region:mojave,role:doctor,role:medic"
doc_sawbones,"domain:medicine,domain:military,faction:ncr,person:doc_sawbones,race:human,region:mojave,role:doctor,role:medic,role:military"
doctor_0,"community:big_mt,domain:engineering,domain:robotics,domain:technology,person:doctor_0,place:big_mt,race:human,region:mojave,role:engineer,role:researcher"
doctor_8,"community:big_mt,domain:engineering,person:doctor_8,place:big_mt,region:mojave,role:engineer,role:researcher"
doctor_alex_richards,"community:hoover_dam,domain:medicine,faction:ncr,person:doctor_alex_richards,place:hoover_dam,race:human,region:mojave,role:medic"
doctor_alvarez,"faction:followers_of_the_apocalypse,person:doctor_alvarez,race:human,region:mojave,role:scientist"
doctor_borous,"community:big_mt,domain:engineering,domain:technology,person:doctor_borous,place:big_mt,region:mojave,role:engineer,role:researcher"
doctor_dala,"community:big_mt,domain:medicine,person:doctor_dala,place:big_mt,race:human,region:mojave,role:medic,role:researcher"
doctor_henry,"community:jacobstown,domain:medicine,person:doctor_henry,place:jacobstown,race:human,region:mojave,role:medic,role:scientist"
doctor_kemp,"community:camp_mccarran,domain:medicine,faction:ncr,person:doctor_kemp,place:camp_mccarran,race:human,region:mojave,role:medic"
doctor_klein,"community:big_mt,domain:technology,person:doctor_klein,place:big_mt,race:robot,region:mojave,role:leader,role:researcher"
doctor_luria,"community:new_vegas,domain:medicine,faction:followers_of_the_apocalypse,person:doctor_luria,place:new_vegas,race:human,region:mojave,role:doctor,role:medic"
doctor_mobius,"community:big_mt,domain:robotics,person:doctor_mobius,place:big_mt,region:mojave,role:scientist"
doctor_orderly_md_phd_dds,"community:big_mt,domain:medicine,person:doctor_orderly_md_phd_dds,place:big_mt,race:robot,region:mojave,role:medic"
doctor_rotson,"domain:agriculture,domain:medicine,domain:robotics,person:doctor_rotson,race:ghoul,region:mojave,role:doctor,role:medic"
doctor_usanagi,"community:new_vegas,domain:medicine,faction:followers_of_the_apocalypse,person:doctor_usanagi,place:new_vegas,race:human,region:mojave,role:medic"
dog_and_god__nvdlc01dog,"community:sierra_madre,domain:explosives,domain:survival,person:dog_and_god,place:sierra_madre,race:nightkin,region:mojave,role:survivalist"
dog_and_god__nvdlc01god,"community:sierra_madre,domain:explosives,domain:survival,person:dog_and_god,place:sierra_madre,race:nightkin,region:mojave,role:survivalist"
don_hostetler,"community:new_vegas,domain:trade,faction:great_khans,person:don_hostetler,place:new_vegas,race:human,region:mojave,role:caravaner"
donald_kowalski,"community:hoover_dam,faction:ncr,person:donald_kowalski,place:hoover_dam,race:human,region:mojave"
dr_ada_straus,"community:novac,domain:medicine,domain:trade,person:dr_ada_straus,place:novac,race:human,region:mojave,role:doctor,role:medic,role:merchant"
dr_calis,"community:big_mt,domain:biology,person:dr_calis,place:big_mt,race:ghoul,region:mojave,role:scientist"
drill_sergeant,"community:camp_mccarran,domain:military,faction:ncr,person:drill_sergeant,place:camp_mccarran,race:human,region:mojave,role:leader,role:military"
driver_nephi,"community:westside,faction:ncr,person:driver_nephi,place:westside,race:human,region:mojave,role:leader"
drunk,"community:freeside,domain:trade,person:drunk,place:freeside,race:human,region:mojave"
duke__1eduke,"person:duke,race:human,role:leader"
dusty_mcbride,"community:novac,domain:firearms,domain:survival,person:dusty_mcbride,place:novac,race:human,region:mojave,role:survivalist"
easy_pete,"community:goodsprings,domain:explosives,person:easy_pete,place:goodsprings,race:human,region:mojave"
ed-e__nvcompanionede,"community:primm,person:ed_e,place:primm,race:robot,region:mojave,role:courier"
ed-e__nvdlc04ede,"person:ed_e,race:robot,region:mojave"
eddie,"domain:explosives,faction:ncr,faction:powder_gangers,person:eddie,race:human,region:mojave,role:caravaner,role:leader"
elder_nolan_mcnamara,"community:hidden_valley,domain:military,faction:brotherhood_of_steel,person:elder_nolan_mcnamara,place:hidden_valley,race:human,region:mojave,role:leader,role:military"
emily_ortal,"community:new_vegas,domain:medicine,faction:followers_of_the_apocalypse,person:emily_ortal,place:new_vegas,race:human,region:mojave,role:medic"
engineer_allison_valentine,"community:hoover_dam,domain:engineering,faction:ncr,person:engineer_allison_valentine,place:hoover_dam,race:human,region:mojave,role:engineer"
escaped_convict,"community:primm,domain:survival,faction:ncr,faction:powder_gangers,person:escaped_convict,place:primm,race:human,region:mojave,role:raider,role:survivalist"
escaped_convict_leader,"community:primm,person:escaped_convict_leader,place:primm,race:human,region:mojave,role:leader"
esteban_morales,"community:camp_mccarran,faction:ncr,person:esteban_morales,place:camp_mccarran,race:human,region:mojave"
ethel_phebus,"community:new_vegas_strip,domain:survival,person:ethel_phebus,place:new_vegas_strip,race:human,region:mojave,role:survivalist"
ezekiel,"domain:history,domain:survival,faction:followers_of_the_apocalypse,person:ezekiel,race:human,region:mojave,role:survivalist,role:tribal"
fairbanks,"community:hidden_valley,faction:brotherhood_of_steel,person:fairbanks,place:hidden_valley,race:human,region:mojave"
fantastic,"domain:engineering,faction:ncr,person:fantastic,race:human,region:mojave,role:engineer"
farris,"community:freeside,domain:survival,faction:ncr,person:farris,place:freeside,race:human,region:mojave,role:survivalist"
father_elijah,"community:sierra_madre,domain:engineering,domain:technology,faction:brotherhood_of_steel,person:father_elijah,place:sierra_madre,region:mojave,role:engineer,role:hunter"
festus,"person:festus,race:robot"
fiel,"person:fiel,race:dog,region:mojave,role:soldier"
fiend_boss_vault_3,"person:fiend_boss_vault_3,race:human,role:soldier"
fiend_corpse,"person:fiend_corpse,race:human,role:raider"
first_sergeant_astor,"domain:military,domain:survival,faction:ncr,person:first_sergeant_astor,region:mojave,role:leader,role:military,role:survivalist"
fisto,"community:freeside,domain:robotics,person:fisto,place:freeside,race:robot,region:mojave"
fitz,"community:camp_mccarran,person:fitz,place:camp_mccarran,race:human,region:mojave,role:merchant"
followers_doctor,"domain:medicine,faction:followers_of_the_apocalypse,person:followers_doctor,race:human,region:mojave,role:medic,role:researcher"
followers_guard,"faction:followers_of_the_apocalypse,person:followers_guard,race:human,region:mojave,role:doctor,role:soldier"
followers_medical_student,"community:new_vegas,domain:medicine,faction:followers_of_the_apocalypse,person:followers_medical_student,place:new_vegas,race:human,region:mojave,role:medic"
follows-chalk,"community:zion_canyon,domain:survival,person:follows_chalk,place:zion_canyon,race:human,region:mojave,role:survivalist,role:tribal"
francine_garret,"community:freeside,person:francine_garret,place:freeside,race:human,region:mojave,role:merchant"
frank_weathers,"community:new_vegas,domain:agriculture,person:frank_weathers,place:new_vegas,race:human,region:mojave"
freeside_thug,"community:freeside,domain:survival,person:freeside_thug,place:freeside,race:human,region:mojave,role:survivalist"
frumentarii,"faction:caesars_legion,person:frumentarii,race:human,region:mojave"
gabban,"domain:survival,faction:caesars_legion,person:gabban,race:human,region:mojave,role:survivalist"
gabe,"community:big_mt,person:gabe,place:big_mt,region:mojave,role:doctor"
gaius_magnus,"domain:military,domain:survival,faction:caesars_legion,person:gaius_magnus,region:mojave,role:leader,role:military,role:survivalist"
gambler,"community:new_vegas,person:gambler,place:new_vegas,race:human,region:mojave"
genaro,"community:freeside,domain:survival,person:genaro,place:freeside,race:human,region:mojave,role:survivalist"
general_lee_oliver,"community:hoover_dam,domain:military,domain:politics,faction:ncr,person:general_lee_oliver,place:hoover_dam,race:human,region:mojave,role:military"
george,"community:nellis_air_force_base,domain:survival,faction:boomers,person:george,place:nellis_air_force_base,region:mojave,role:survivalist"
ghashbone,"person:ghashbone,race:dog,role:soldier"
ghost_of_she,"community:zion_canyon,person:ghost_of_she,place:zion_canyon,region:mojave,role:soldier"
gloria_van_graff,"community:freeside,domain:energy_weapons,domain:politics,domain:trade,person:gloria_van_graff,place:freeside,race:human,region:mojave,role:caravaner"
gomez,"domain:survival,faction:ncr,person:gomez,race:human,region:mojave,role:survivalist"
gomorrah_bartender,"community:new_vegas,person:gomorrah_bartender,place:new_vegas,region:mojave"
gomorrah_cash_room_guard,"community:new_vegas_strip,domain:firearms,person:gomorrah_cash_room_guard,place:new_vegas_strip,race:human,region:mojave,role:soldier"
gomorrah_cashier,"community:new_vegas,person:gomorrah_cashier,place:new_vegas,race:human,region:mojave"
gomorrah_dealer,"community:new_vegas,person:gomorrah_dealer,place:new_vegas,race:human,region:mojave"
gomorrah_entrance_guard,"community:new_vegas_strip,person:gomorrah_entrance_guard,place:new_vegas_strip,race:human,region:mojave,role:soldier"
gomorrah_floor_manager,"community:new_vegas_strip,person:gomorrah_floor_manager,place:new_vegas_strip,race:human,region:mojave"
gomorrah_prostitute,"community:new_vegas,domain:survival,person:gomorrah_prostitute,place:new_vegas,region:mojave,role:survivalist"
gomorrah_receptionist,"community:new_vegas,domain:politics,person:gomorrah_receptionist,place:new_vegas,race:human,region:mojave"
goodsprings_settler,"community:goodsprings,domain:survival,person:goodsprings_settler,place:goodsprings,race:human,region:mojave,role:survivalist"
gourd,"domain:survival,person:gourd,race:human,region:mojave,role:survivalist"
gourmand_food_supplier,"community:new_vegas_strip,person:gourmand_food_supplier,place:new_vegas_strip,race:human,region:mojave"
greaser_character,"community:new_vegas,person:greaser_character,place:new_vegas,race:human,region:mojave"
greasy_johnny,"community:new_vegas,person:greasy_johnny,place:new_vegas,race:human,region:mojave,role:leader"
great_khan_armorer,"community:red_rock_canyon,domain:firearms,faction:great_khans,person:great_khan_armorer,place:red_rock_canyon,race:human,region:mojave,role:merchant,role:tribal"
great_khan_character,"community:red_rock_canyon,domain:survival,faction:great_khans,person:great_khan_character,place:red_rock_canyon,race:human,region:mojave,role:raider,role:survivalist,role:tribal"
great_khan_warrior,"community:hoover_dam,domain:firearms,domain:survival,faction:caesars_legion,faction:great_khans,person:great_khan_warrior,place:hoover_dam,race:human,region:mojave,role:survivalist,role:tribal"
grecks,"community:freeside,person:grecks,place:freeside,race:ghoul,region:mojave"
gun_runner_guard,"domain:firearms,person:gun_runner_guard,race:human,region:mojave,role:soldier"
gun_runner_gunsmith,"domain:firearms,person:gun_runner_gunsmith,region:mojave,role:gunsmith,role:soldier"
