include,topic,page_title,category,game,source_category,source_url,pageid
1,brahmin,Brahmin (Fallout 3),creature,both,curated,,
1,centaur,Centaur (Fallout 3),creature,both,curated,,
1,deathclaw,Deathclaw,creature,both,curated,,
1,eyebot,Eyebot (Fallout: New Vegas),creature,both,curated,,
1,feral_ghoul,Feral ghoul,creature,both,curated,,
1,mister_gutsy,Mister Gutsy (Fallout: New Vegas),creature,both,curated,,
1,mister_handy,Mister Handy (Fallout: New Vegas),creature,both,curated,,
1,mole_rat,Mole Rat (Fallout 3),creature,both,curated,,
1,protectron,Protectron (Fallout: New Vegas),creature,both,curated,,
1,radroach,Radroach (Fallout 3),creature,both,curated,,
1,radscorpion,Radscorpion,creature,both,curated,,
1,robobrain,Robobrain (Fallout: New Vegas),creature,both,curated,,
1,sentry_bot,Sentry Bot (Fallout: New Vegas),creature,both,curated,,
1,super_mutant,Super mutant,creature,both,curated,,
1,abomination,Abomination (Mothership Zeta),creature,fallout3,Fallout 3 creatures,https://fallout.wiki/wiki/Abomination_(Mothership_Zeta),5771
1,alien,Alien (Mothership Zeta),creature,fallout3,curated,,
1,bloatfly,Bloatfly (Fallout 3),creature,fallout3,curated,,
1,experimental_weapons_drone,Experimental Weapons Drone,creature,fallout3,Fallout 3 Drones,https://fallout.wiki/wiki/Experimental_Weapons_Drone,42292
1,fire_ant,Fire Ant (Fallout 3),creature,fallout3,curated,,
1,guardian_drone,Guardian Drone,creature,fallout3,Fallout 3 Drones,https://fallout.wiki/wiki/Guardian_Drone,42143
1,mirelurk,Mirelurk (Fallout 3),creature,fallout3,curated,,
1,mirelurk_king,Mirelurk King (Fallout 3),creature,fallout3,curated,,
1,swampfolk,Swampfolk,creature,fallout3,Swampfolk,https://fallout.wiki/wiki/Swampfolk,36617
1,trog,Trog (Fallout 3),creature,fallout3,curated,,
1,yao_guai,Yao Guai (Fallout 3),creature,fallout3,curated,,
1,bighorner,Bighorner,creature,fnv,curated,,
1,cazador,Cazador,creature,fnv,curated,,
1,cyberdog,Cyberdog (Fallout: New Vegas),creature,fnv,curated,,
1,gecko,Gecko (Fallout: New Vegas),creature,fnv,curated,,
1,ghost_people,Ghost People,creature,fnv,curated,,
1,giant_mantis,Giant Mantis,creature,fnv,Fallout: New Vegas creatures|Giant Mantis|Honest Hearts creatures,https://fallout.wiki/wiki/Giant_Mantis,109157
1,lakelurk,Lakelurk,creature,fnv,curated,,
1,lobotomite,Lobotomite,creature,fnv,curated,,
1,marked_men,Marked Men,creature,fnv,curated,,
1,mongrel,Mongrel (Fallout: New Vegas),creature,fnv,Fallout: New Vegas creatures,https://fallout.wiki/wiki/Mongrel_(Fallout:_New_Vegas),651908
1,nightstalker,Nightstalker,creature,fnv,curated,,
1,raven,Raven,creature,fnv,Fallout: New Vegas creatures,https://fallout.wiki/wiki/Raven,102054
1,securitron,Securitron,creature,fnv,curated,,
1,spore_carrier,Spore Carrier,creature,fnv,curated,,
1,tunneler,Tunneler,creature,fnv,curated,,
1,alaskan_reclamation_operation,Alaskan Reclamation Operation,event,both,curated,,
1,automation_riots,Automation Riots,event,both,curated,,
1,battle_of_anchorage,Battle of Anchorage,event,both,curated,,
1,brotherhood_civil_war,Brotherhood Civil War,event,both,curated,,
1,ncr_brotherhood_war,Brotherhood War,event,both,curated,,
1,brotherhood_exodus,Exodus,event,both,curated,,
1,food_riots,Food Riots,event,both,curated,,
1,formation_of_the_brotherhood_of_steel,Formation of the Brotherhood of Steel (Event),event,both,curated,,
1,glow_expedition,Glow Expedition,event,both,curated,,
1,great_war,Great War,event,both,curated,,
1,invasion_of_alaska,Invasion of Alaska,event,both,curated,,
1,mariposa_mutiny,Mariposa Mutiny,event,both,curated,,
1,navarro_conflict,Navarro Conflict,event,both,curated,,
1,resource_wars,Resource Wars,event,both,curated,,
1,brotherhood_schism,Schism,event,both,curated,,
1,sino_american_war,Sino-American War,event,both,curated,,
1,united_states_annexation_of_canada,United States Annexation of Canada,event,both,curated,,
1,unity_conflict,Unity Conflict,event,both,curated,,
1,battle_of_arizona_spillway,Battle of Arizona Spillway,event,fnv,curated,,
